Country Name,Country Code,Series Name,Series Code,2024 [YR2024],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004],2003 [YR2003],2002 [YR2002],2001 [YR2001],2000 [YR2000]
Afghanistan,AFG,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,..,..,..,13621070038.579,18585819842.831,17731939790.9716,17143221811.4464,17751891426.8509,16826000216.6437,18572571195.5786,18885765415.8654,18890016968.3984,18511801827.4972,16630409946.3194,14289975733.7475,11080132310.4451,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,..,64.068,65.339,66.599,68.877,70.967,73.021,75.3,78.13,81.043,84.069,89.337,95.245,101.659,105.648,109.655,118.979,117.754,121.635,130.838,136.93,143.75,150.161,152.471,154.31
Afghanistan,AFG,Gross savings (% of GDP),NY.GNS.ICTR.ZS,..,..,..,..,-2.73776944122657,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,-6.60118564073726,-4.64470870797775,13.7121023720065,5.13320340824963,5.60188791482224,2.30237251516834,0.626149149168847,4.97595150553833,4.38389195513915,-0.661709164713742,4.67399603536345,7.38577178397855,6.44121280934117,11.8041858089129,2.17853752389419,-6.81116108898996,26.4186641547444,8.68057078513406,6.78459655001655,12.6862687216715,..,..,..,..,..
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,..,..,..,23.3,16.496,..,..,21.171,..,..,25.784,..,16.015,..,..,..,43.79,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Population, female",SP.POP.TOTL.FE.IN,21114952,20530683,20103167,19813956,19343529,18736474,18178417,17649936,17159297,16732244,16221843,15647752,15127147,14532542,14011779,13612943,13131734,12853489,12618615,12119909,11709120,11306364,10640919,10104514,10035682
Afghanistan,AFG,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,49.5104190417575,49.5255128837916,49.5410071090742,49.5343797958881,49.5112221898607,49.4939087921871,49.4744514736519,49.4549248947888,49.449550069908,49.4572024089551,49.4681150334178,49.4826501870302,49.4997714989453,49.5184921942965,49.539440691883,49.5627082112131,49.5862305477154,49.6085021870639,49.6325060786827,49.6624648026931,49.6977736567828,49.7353610595745,49.7748188018617,49.8144427519482,49.8535443635096
Afghanistan,AFG,"Population, male",SP.POP.TOTL.MA.IN,21532540,20924078,20475675,20186456,19725450,19119647,18564622,18038999,17541315,17099520,16570680,15974952,15432887,14815166,14272310,13853158,13350888,13056363,12805479,12284658,11851534,11426685,10737198,10179793,10094645
Afghanistan,AFG,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.4895809582425,50.4744871162084,50.4589928909258,50.4656202041119,50.4887778101394,50.5060912078129,50.5255485263481,50.5450751052112,50.550449930092,50.5427975910449,50.5318849665822,50.5173498129698,50.5002285010547,50.4815078057035,50.460559308117,50.4372917887869,50.4137694522846,50.3914978129361,50.3674939213173,50.3375351973069,50.3022263432172,50.2646389404255,50.2251811981383,50.1855572480518,50.1464556364904
Afghanistan,AFG,Ratio of female to male labor force participation rate (%) (national estimate),SL.TLF.CACT.FM.NE.ZS,..,..,..,30.2742876447124,24.6790939828252,..,..,28.9363621453174,..,..,33.4522620236906,..,20.7860137318779,..,..,..,53.3790043395582,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",SL.UEM.1524.FE.NE.ZS,..,..,..,9.433,21.115,..,..,21.399,..,..,12.554,..,4.519,..,..,..,3.952,..,..,..,..,..,..,..,..
Afghanistan,AFG,Wanted fertility rate (births per woman),SP.DYN.WFRT,..,..,..,..,..,..,..,..,..,4.4,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",SG.DMK.SRCR.FN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Women's share of population ages 15+ living with HIV (%),SH.DYN.AIDS.FE.ZS,..,..,29.3134328358209,29.2310408757835,29.1522648717482,29.0687880205896,28.9957430340557,28.9618031315448,28.8410256410256,28.6895674300254,28.6549707602339,28.6753666705162,28.7495460597991,28.8351368555061,28.8681757656458,28.8386917960089,28.6861732644865,28.4650885812119,28.2043295436848,27.9462383215866,27.7487821851079,27.6160060116476,27.5470138458359,27.5034610059991,27.4610074149834
Afghanistan,AFG,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,..,..,..,..,..,..,..,..,..,22.5,..,..,..,21.23950997,21.8,..,22.8,..,18.6,13.6,..,10.3,..,..,5.3
Afghanistan,AFG,Coverage of social insurance programs (% of population),per_si_allsi.cov_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.539036879650045,..,..,..,..,..,..,..
Afghanistan,AFG,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,8.82058232654446,..,..,..,15.262762639307,..,..,..,..,..,..,..
Afghanistan,AFG,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,..,..,..,..,..,..,..,..,..,42.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,11.7,..,..,..,..,..,..,..,..,..,..,..,..,7.6,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,66.035,65.617,60.417,61.454,62.941,62.443,62.406,62.646,62.27,62.26,62.188,61.735,61.25,60.702,60.248,59.708,58.956,58.553,58.247,57.81,57.171,56.225,55.511,55.005
Afghanistan,AFG,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,..,67.536,67.236,64.079,64.656,66.144,65.942,65.606,64.64,64.178,64.009,63.814,63.344,62.852,62.283,61.791,61.428,60.804,60.123,59.588,59.073,58.472,57.442,57.089,56.555
Afghanistan,AFG,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,..,64.467,63.941,57.052,58.455,59.91,59.175,59.388,60.661,60.363,60.495,60.534,60.099,59.625,59.097,58.681,57.984,57.122,56.974,56.88,56.519,55.849,54.986,53.941,53.463
Afghanistan,AFG,"Nurses and midwives (per 1,000 people)",SH.MED.NUMW.P3,..,..,..,..,..,..,0.452,0.179,0.151,0.133,0.151,0.255,..,..,..,0.63,0.521,0.519,0.457,0.612,..,..,..,..,..
Afghanistan,AFG,Prevalence of anemia among women of reproductive age (% of women ages 15-49),SH.ANM.ALLW.ZS,..,45.4,44.5,43.7,43.1,42.4,41.7,40.9,40.1,39.2,38.3,37.4,36.5,35.7,34.9,34.3,33.7,33.2,32.7,32.3,31.9,31.6,31.4,31.5,31.6
